name,variable,unit,value,comment,source
CH4 (l) transport ship,(un-) loading losses,%/transfer,0.7,,"Approx. 450 t for a 130 000m^3 tanker based on https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.470.6116&rep=rep1&type=pdf , pg. 59 f ."
CH4 (l) transport ship,(un-) loading time,h,48,,"Hurskainen 2019: https://cris.vtt.fi/en/publications/liquid-organic-hydrogen-carriers-lohc-concept-evaluation-and-tech , table 8."
CH4 (l) transport ship,average speed,km/h,37,,"Hurskainen 2019: https://cris.vtt.fi/en/publications/liquid-organic-hydrogen-carriers-lohc-concept-evaluation-and-tech , table 8."
CH4 (l) transport ship,boil-off,%/h,0.005,ca. 0.1% per day.,"Lowell et al. 2013, pg. 14."
CH4 (l) transport ship,capacity,MWh_LHV,809717,Based on CH4 LHV of 13.8888 MWh/t_CH4 and 58300 t capacity.,Calculated.
CH4 (l) transport ship,energy demand,MWh/km,0.5675,Taken from source (average fuel demand / average cruising speed) without 50% efficiency.,"Calculated based on Hurskainen 2019: https://cris.vtt.fi/en/publications/liquid-organic-hydrogen-carriers-lohc-concept-evaluation-and-tech , table 8."
H2 (l) transport ship,(un-) loading losses,%/transfer,2,,"Runge et al 2020, pg. 8."
H2 (l) transport ship,(un-) loading time,h,48,,"Hurskainen 2019: https://cris.vtt.fi/en/publications/liquid-organic-hydrogen-carriers-lohc-concept-evaluation-and-tech , table 8."
H2 (l) transport ship,average speed,km/h,30,,"Hurskainen 2019: https://cris.vtt.fi/en/publications/liquid-organic-hydrogen-carriers-lohc-concept-evaluation-and-tech , table 8."
H2 (l) transport ship,boil-off,%/h,0.01,lH2 tank losses (boil off) per day: 0.2%,"Runge et al 2020 pg. 8. and IEA (2019): The Future of Hydrogen, Assumptions Annex, pg. 7."
H2 (l) transport ship,capacity,MWh_LHV,378666,Corresponds to 11360 t H2 (l) with LHV of 33.3333 MWh/t_H2,"Cihlar et al 2020 based on IEA 2019, Table 3-B"
H2 (l) transport ship,energy demand,MWh/km,0.413,,"IEA (2019): The Future of Hydrogen, Annex Assumptions (Transmission)"
LOHC transport ship,(un-) loading losses,%/transfer,0,"Guesstimate, transfer of simple non-cryogenic fluid.",
LOHC transport ship,(un-) loading time,h,48,,"Hurskainen 2019: https://cris.vtt.fi/en/publications/liquid-organic-hydrogen-carriers-lohc-concept-evaluation-and-tech , table 8."
LOHC transport ship,average speed,km/h,27.8,,"Hurskainen 2019: https://cris.vtt.fi/en/publications/liquid-organic-hydrogen-carriers-lohc-concept-evaluation-and-tech , table 8."
LOHC transport ship,boil-off,%/h,0,"Guesstimate, simple non-cryogenic fluid in closed tanks.",
LOHC transport ship,capacity,MWh_LHV,140000,"Assuming DBT as LOHC. Only ca. 90% rate of discharge of H18-DBT recommended, e.g. 1.87 MWh/t effective energy density (5.6 wt-% hydrogen, 33.3333 MWh/t_H2 LHV). 75000 t capacity for LOHC (H18-DBT form).","Calculated, based on Runge et al 2020, pg. 7, https://papers.ssrn.com/abstract=3623514"
LOHC transport ship,energy demand,MWh/km,0.2428,Taken from source (average fuel demand / average cruising speed) without 50% efficiency.,"Calculated based on Hurskainen 2019: https://cris.vtt.fi/en/publications/liquid-organic-hydrogen-carriers-lohc-concept-evaluation-and-tech , table 8."
MeOH transport ship,(un-) loading losses,%/transfer,0,"Guesstimate, transfer of simple non-cryogenic fluid.",
MeOH transport ship,(un-) loading time,h,48,Assume same as for LOHC.,
MeOH transport ship,average speed,km/h,27.8,Assume same as for LOHC.,
MeOH transport ship,boil-off,%/h,0,"Guesstimate, simple non-cryogenic fluid in closed tanks.",
MeOH transport ship,capacity,MWh_LHV,415208,Based on MeOH LHV of 5.53611 MWh/t_MeOH and 75000t capacity.,Calculated.
MeOH transport ship,energy demand,MWh/km,0.2428,Assume same as for LOHC.,
NH3 (l) transport ship,(un-) loading losses,%/transfer,0,"Guesstimate, possibly negligible losses due to relatively close to ambient transport temperature.",
NH3 (l) transport ship,(un-) loading time,h,48,Assume same as for CH4 (l).,
NH3 (l) transport ship,average speed,km/h,37,Assume same as for CH4 (l).,
NH3 (l) transport ship,boil-off,%/h,0,"Guesstimate, possibly negligible losses due to relatively close to ambient transport temperature.",
