# WACC assumptions per region (two letter code as used for region selection in config.yaml) in % for different WACC scenarios (selection in config.yaml),,,,,,
region,homogeneous,irena,lowhomogeneous,highhomogeneous,homogeneous-7.5,pypsa-eur-sec
AR,10,10,5,12,7.5,7
AU,10,7.5,5,12,7.5,7
CA,10,7.5,5,12,7.5,7
CA-East,10,7.5,5,12,7.5,7
CL,10,7.5,5,12,7.5,7
CN,10,7.5,5,12,7.5,7
CN-East,10,7.5,5,12,7.5,7
CN-West,10,7.5,5,12,7.5,7
DE,10,7.5,5,12,7.5,7
DK,10,7.5,5,12,7.5,7
DZ,10,10,5,12,7.5,7
EG,10,10,5,12,7.5,7
ES,10,7.5,5,12,7.5,7
IS,10,7.5,5,12,7.5,7
KZ,10,10,5,12,7.5,7
LY,10,10,5,12,7.5,7
MA,10,10,5,12,7.5,7
NA,10,10,5,12,7.5,7
RU,10,10,5,12,7.5,7
RU-West,10,10,5,12,7.5,7
SA,10,10,5,12,7.5,7
TN,10,10,5,12,7.5,7
TR,10,7.5,5,12,7.5,7
UA,10,10,5,12,7.5,7
US,10,7.5,5,12,7.5,7
US-East,10,7.5,5,12,7.5,7
