name,bus0,bus1,bus2,bus3,p_nom_extendable,p_min_pu,p_max_pu,scale_costs_based_on
"battery inverter (charging, exp)",electricity (exp),battery (exp),,,True,0,1,bus0
"battery inverter (discharging, exp)",battery (exp),electricity (exp),,,True,0,1,bus0
seawater desalination (exp),electricity (exp),water (exp),,,True,0,1,bus1
electrolysis (exp),electricity (exp),hydrogen (g) (exp),water (exp),,True,0,1,bus0
industrial heat pump medium temperature (exp),electricity (exp),heat (exp),,,True,0,1,bus1
direct air capture (exp),electricity (exp),CO2 (g) (exp),heat (exp),,True,0,1,bus1
Fischer-Tropsch (exp),electricity (exp),FT fuel (exp),CO2 (g) (exp),hydrogen (g) (exp),True,0.9425,1,bus1
ship loading,FT fuel (exp),berth (exp),,,True,0,1,n/a
ship unloading,berth (imp),FT fuel (imp),,,True,0,1,n/a
H2 storage compressor (exp),hydrogen (g) (exp),hydrogen (g) storage (exp),electricity (exp),,True,0,1,n/a
H2 storage unstoring (exp),hydrogen (g) storage (exp),hydrogen (g) (exp),,,True,0,1,n/a
CO2 liquefaction (exp),electricity (exp),CO2 (l) (exp),CO2 (g) (exp),,True,0,1,bus1
CO2 evaporation (exp),CO2 (l) (exp),CO2 (g) (exp),,,True,0,1,n/a
FT fuel storing and unstoring (exp),FT fuel (exp),FT fuel storage (exp),,,True,-1,1,n/a
