name,bus0,bus1,bus2,bus3,p_nom_extendable,p_min_pu,p_max_pu
"battery inverter (charging, exp)",electricity (exp),battery (exp),,,True,0,1
"battery inverter (discharging, exp)",battery (exp),electricity (exp),,,True,0,1
seawater desalination (exp),electricity (exp),water (exp),,,True,0,1
electrolysis (exp),electricity (exp),hydrogen (g) (exp),water (exp),,True,0,1
air separation unit (exp),electricity (exp),nitrogen (g) (exp),,,True,0,1
Haber-Bosch synthesis (exp),electricity (exp),ammonia (g) (exp),nitrogen (g) (exp),hydrogen (g) (exp),True,0,1
NH3 liquefaction (exp),ammonia (g) (exp),ammonia (l) (exp),electricity (exp),,True,0,1
NH3 evaporation (imp),ammonia (l) (imp),ammonia (g) (imp),,,True,0,1
ship loading,ammonia (l) (exp),berth (exp),,,True,0,1
ship unloading,berth (imp),ammonia (l) (imp),,,True,0,1
