name,bus0,bus1,bus2,bus3,p_nom_extendable,p_min_pu,p_max_pu,scale_costs_based_on
"battery inverter (charging, exp)",electricity (exp),battery (exp),,,True,0,1,bus0
"battery inverter (discharging, exp)",battery (exp),electricity (exp),,,True,0,1,bus0
seawater desalination (exp),electricity (exp),water (exp),,,True,0,1,bus1
electrolysis (exp),electricity (exp),hydrogen (g) (exp),water (exp),,True,0,1,bus0
LOHC hydrogenation (exp),hydrogen (g) (exp),LOHC (loaded) (exp),LOHC (unloaded) (exp),electricity (exp),True,0,1,bus0
LOHC dehydrogenation (imp),LOHC (loaded) (imp),hydrogen (g) (imp),LOHC (used) (imp),,True,0,1,bus1
LOHC (loaded) loading (exp),LOHC (loaded) (exp),berth (exp),,,True,0,1,n/a
LOHC (loaded) unloading (imp),berth (imp),LOHC (loaded) (imp),,,True,0,1,n/a
LOHC (used) loading (imp),LOHC (used) (imp),berth LOHC (used) (imp),,,True,0,1,n/a
LOHC (used) unloading (exp),berth LOHC (used) (exp),LOHC (used) (exp),,,True,0,1,n/a
LOHC treatment (exp),LOHC (used) (exp),LOHC (unloaded) (exp),,,True,0,1,n/a
H2 storage compressor (exp),hydrogen (g) (exp),hydrogen (g) storage (exp),,,True,0,1,n/a
H2 storage unstoring (exp),hydrogen (g) storage (exp),hydrogen (g) (exp),,,True,0,1,n/a
