name,bus0,bus1,bus2,bus3,p_nom_extendable,p_min_pu,p_max_pu
"battery inverter (charging, exp)",electricity (exp),battery (exp),,,True,0,1
"battery inverter (discharging, exp)",battery (exp),electricity (exp),,,True,0,1
seawater desalination (exp),electricity (exp),water (exp),,,True,0,1
electrolysis (exp),electricity (exp),hydrogen (g) (exp),water (exp),,True,0,1
industrial heat pump medium temperature (exp),electricity (exp),heat (exp),,,True,0,1
direct air capture (exp),electricity (exp),CO2 (g) (exp),heat (exp),,True,0,1
methanolisation (exp),electricity (exp),methanol (exp),CO2 (g) (exp),hydrogen (g) (exp),True,0,1
ship loading,methanol (exp),berth (exp),,,True,0,1
ship unloading,berth (imp),methanol (imp),,,True,0,1
H2 storage compressor (exp),hydrogen (g) (exp),hydrogen (g) storage (exp),electricity (exp),,True,0,1
H2 storage unstoring (exp),hydrogen (g) storage (exp),hydrogen (g) (exp),,,True,0,1
CO2 liquefaction (exp),CO2 (g) (exp),CO2 (l) (exp),electricity (exp),,True,0,1
CO2 evaporation (exp),CO2 (l) (exp),CO2 (g) (exp),,,True,0,1
MeOH storing and unstoring (exp),methanol (exp),methanol storage (exp),,,True,-1,1
